,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
2585,Senamiestis,Aušros Vartų g.,595000,2481,5,239.87,3,4
2586,Senamiestis,Aušros Vartų g.,595000,2481,5,239.87,3,4
2587,Lazdynėliai,Rūko g.,77000,1638,2,47,2,3
2588,Šeškinė,Gelvonų g.,86500,1368,3,63.25,3,5
2589,Senamiestis,Aludarių g.,149000,2069,2,72,4,4
2590,Burbiškės,Burbiškių g.,130960,1845,3,71,1,4
2591,Burbiškės,Burbiškių g.,162830,1794,3,90.77,2,4
2592,Burbiškės,Burbiškių g.,162780,1809,4,90,2,4
2593,Pašilaičiai,Jurgio Baltrušaičio g.,93000,1033,3,90,3,10
2594,Senamiestis,Aukų g.,180000,2250,4,80,2,4
2595,Senamiestis,Šv. Stepono g.,110000,994,3,110.63,3,3
2596,Senamiestis,Šv. Stepono g.,349000,999,7,349.4,3,3
2597,Šnipiškės,Kernavės g.,224900,2800,3,80.32,8,9
2598,Markučiai,Sibiro g.,79000,1302,3,60.69,1,2
2599,Šnipiškės,Konstitucijos pr.,198999,2884,3,69,21,27
2600,Senamiestis,Aguonų g.,425000,2977,5,142.76,5,6
2601,Pašilaičiai,Leičių g.,72011,1082,3,66.55,2,9
2602,Senamiestis,Didžioji g.,300000,5556,2,54,2,4
2603,Trakų Vokė,Žalioji a.,49000,1155,2,42.42,2,2
2604,Trakų Vokė,J. Tiškevičiaus g.,77000,939,4,82,2,4
2605,Užupis,Olandų g.,89000,2528,2,35.2,2,6
2606,Antakalnis,Olandų g.,87000,2472,2,35.2,2,6
2607,Žvėrynas,Stirnų g.,225000,2228,3,101,1,4
2608,Žvėrynas,Stirnų g.,225000,2228,3,101,1,4
2609,Lazdynai,Architektų g.,66500,1091,3,60.95,5,5
2610,Pašilaičiai,Ukmergės g.,130000,1704,3,76.28,4,9
2611,Senamiestis,Šv. Stepono g.,122000,999,2,122.14,3,3
2612,Senamiestis,Šv. Stepono g.,116000,995,3,116.63,3,3
2613,Užupis,Olandų g.,125000,2358,3,53,3,6
2614,Senamiestis,Aludarių g.,165000,2260,2,73,4,4
2615,Žvėrynas,Malonioji g.,100000,1225,4,81.61,2,2
2616,Valakampiai,Lizdeikos g.,99400,1654,2,60.1,1,2
2617,Baltupiai,Didlaukio g.,18990,1073,1,17.7,6,12
2618,Pilaitė,Simono Grunau g.,119900,1262,4,95,1,2
2619,Žirmūnai,Olimpiečių g.,304847,3542,3,86.07,3,4
2620,Šnipiškės,Kalvarijų g.,84900,1088,4,78,2,5
2621,Šeškinė,Ozo g.,86000,1934,2,44.46,2,5
2622,Šnipiškės,Kernavės g.,155000,1855,4,83.57,2,6
2623,Šeškinė,Ozo g.,114000,1817,3,62.73,2,5
2624,Senamiestis,Mindaugo g.,135000,3214,2,42,2,3
2625,Žvėrynas,Saltoniškių g.,155000,2422,2,64,4,10
2626,Santariškės,Santariškių g.,172000,2646,3,65,1,3
2627,Senamiestis,Tilto g.,990000,3056,8,324,3,3
2628,Naujininkai,Kapsų g.,89500,2140,2,41.83,4,7
2629,Naujininkai,Kapsų g.,89500,2140,2,41.83,4,7
2630,Senamiestis,Mindaugo g.,210000,5250,2,40,9,9
2631,Naujamiestis,Savanorių pr.,145000,1933,3,75,1,5
2632,Turniškės,Turniškių g.,139000,2896,2,48,1,3
2633,Antakalnis,Turniškių g.,139000,2896,2,48,1,3
2634,Valakampiai,Turniškių g.,139000,2896,2,48,1,3
2635,Žvėrynas,Danielių g.,229000,3881,2,59,2,5
2636,Žvėrynas,Danielių g.,229000,3817,2,60,2,4
2637,Senamiestis,Šv. Jono g.,330000,3957,4,83.39,3,3
2638,Senamiestis,Vilniaus g.,149000,3239,2,46,3,5
2639,Senamiestis,Vilniaus g.,149000,3229,2,46.14,3,6
2640,Senamiestis,Šv. Stepono g.,238000,997,5,238.77,3,3
2641,Šeškinė,Siesikų g.,88100,1847,2,47.71,1,9
2642,Pilaitė,Tolminkiemio g.,65000,1287,2,50.49,5,5
2643,Naujininkai,Dariaus ir Girėno g.,96000,1157,4,83,1,2
2644,Žvėrynas,Vytauto g.,395000,2926,4,135,3,3
2645,Žirmūnai,Trinapolio g.,94600,1676,2,56.46,3,9
2646,Žirmūnai,Trinapolio g.,94600,1676,2,56.46,3,9
2647,Antakalnis,Žolyno g.,300000,2585,4,116.05,4,4
2648,Užupis,Paupio g.,89900,3211,2,28,1,1
2649,Naujoji Vilnia,Žaliakalnio g.,18000,558,2,32.27,1,1
2650,Šnipiškės,Konstitucijos pr.,223533,2550,4,87.66,11,29
2651,Šnipiškės,Konstitucijos pr.,337090,2600,4,129.65,6,29
2652,Naujamiestis,Konstitucijos pr.,222852,2450,4,90.96,10,29
2653,Šnipiškės,Konstitucijos pr.,390156,3900,3,100.04,14,29
2654,Naujoji Vilnia,A. Kojelavičiaus g.,117000,1560,3,75,2,2
2655,Antakalnis,Peteliškių g.,135500,2812,2,48.18,3,5
2656,Valakampiai,Turniškių g.,170000,2818,2,60.33,2,3
2657,Antakalnis,Turniškių g.,170000,2818,2,60.33,2,3
2658,Senamiestis,Didžioji g.,380000,2711,4,140.19,1,2
2659,Kalnėnai,Kroatų g.,125000,1185,4,105.45,1,2
2660,Viršuliškės,Viršuliškių g.,63000,1926,1,32.71,5,9
2661,Pilaitė,Tolminkiemio g.,89999,1027,4,87.62,5,5
2662,Pašilaičiai,Perkūnkiemio g.,97000,1528,2,63.5,8,9
2663,Pilaitė,M. Mažvydo g.,89867,1913,2,46.97,1,9
2664,Senamiestis,Stiklių g.,360000,4390,4,82,4,4
2665,Žirmūnai,Kalvarijų g.,13950,401,2,34.75,2,2
2666,Žvėrynas,Vytauto g.,13410,715,1,18.75,1,1
2667,Visoriai,Jono Kairiūkščio g.,67050,920,3,72.88,9,9
2668,Pilaitė,Tolminkiemio g.,39960,1131,1,35.34,1,9
2669,Pilaitė,Įsruties g.,40500,1129,1,35.86,1,9
2670,Pilaitė,I. Kanto al.,44640,1269,1,35.18,7,9
2671,Senamiestis,J. Basanavičiaus g.,178000,1780,3,100,2,4
2672,Pilaitė,Pilaitės pr.,74900,1690,2,44.32,6,16
2673,Viršuliškės,Spaudos g.,54500,1968,1,27.69,6,16
2674,Viršuliškės,Spaudos g.,54500,1968,1,27.69,6,16
2675,Žirmūnai,Kernavės g.,105900,2030,3,52.17,3,8
2676,Kalnėnai,Kašubų g.,95000,1150,4,82.63,1,2
2677,Pilaitė,Tolminkiemio g.,121000,1842,3,65.7,1,4
2678,Pilaitė,Tolminkiemio g.,125000,1822,3,68.6,1,5
2679,Užupis,Manufaktūrų g.,75000,2040,1,36.76,2,4
2680,Antakalnis,Tverečiaus g.,95000,1347,4,70.54,1,7
2681,Senamiestis,Trakų g.,399968,3495,3,114.44,2,3
2682,Šnipiškės,Konstitucijos pr.,239895,2700,4,88.85,6,29
2683,Žvėrynas,Saltoniškių g.,256000,2695,4,95,8,10
2684,Naujamiestis,Raugyklos g.,221000,2680,4,82.45,2,4
2685,Senamiestis,Raugyklos g.,221000,2679,4,82.5,2,4
2686,Šnipiškės,Konstitucijos pr.,142748,2625,2,54.38,10,29
2687,Naujamiestis,Konstitucijos pr.,131565,2450,2,53.7,10,29
2688,Šnipiškės,Konstitucijos pr.,131565,2450,2,53.7,10,29
2689,Šnipiškės,Konstitucijos pr.,142748,2625,2,54.38,10,29
2690,Šnipiškės,Konstitucijos pr.,142748,2625,2,54.38,10,29
2691,Šnipiškės,Konstitucijos pr.,162965,2750,2,59.26,11,29
2692,Senamiestis,Konstitucijos pr.,162965,2750,2,59.26,11,29
2693,Užupis,Polocko g.,279000,3770,2,74,4,4
2694,Žirmūnai,Kalvarijų g.,329900,2307,4,143.02,7,8
2695,Šnipiškės,Kalvarijų g.,329900,2307,4,143.02,7,8
2696,Antakalnis,Žirgo g.,149000,2325,2,64.09,6,20
2697,Antakalnis,Vytauto Žalakevičiaus g.,161000,2758,2,58.37,4,6
2698,Lazdynai,Žėručio g.,84900,1338,3,63.43,8,9
2699,Šnipiškės,Kalvarijų g.,189000,1969,4,96,7,8
2700,Šnipiškės,Konstitucijos pr.,160839,2700,3,59.57,12,29
2701,Naujamiestis,Konstitucijos pr.,160000,2667,2,60,12,29
2702,Šeškinė,Gelvonų g.,79800,1189,3,67.11,5,5
2703,Žemieji Paneriai,Savanorių pr.,44885,935,2,48,2,5
2704,Žemieji Paneriai,Savanorių pr.,44192,921,2,48,2,5
2705,Šeškinė,Siesikų g.,329000,2329,5,141.25,8,8
2706,Pašilaičiai,Leičių g.,64000,1187,2,53.9,1,9
2707,Pašilaičiai,Leičių g.,64000,1187,2,53.9,1,9
2708,Pašilaičiai,Leičių g.,62000,1292,2,48,1,9
2709,Žirmūnai,Žirmūnų g.,148900,1600,4,93.08,4,4
2710,Naujamiestis,Šv. Stepono g.,349000,3292,4,106,2,2
2711,Senamiestis,Šv. Stepono g.,349000,3292,4,106,2,2
2712,Šnipiškės,Kernavės g.,92000,2576,2,35.71,2,6
2713,Šnipiškės,Kernavės g.,85000,2389,2,35.58,1,6
2714,Antakalnis,Turniškių g.,310000,3298,3,94,3,3
2715,Viršuliškės,Spaudos g.,70600,1699,2,41.55,8,16
2716,Senamiestis,A. Rotundo g.,650000,3250,5,200,3,5
2717,Jeruzalė,Bitininkų g.,99200,1253,2,79.18,1,6
2718,Fabijoniškės,S. Stanevičiaus g.,55900,1402,1,39.87,3,5
2719,Lazdynėliai,Rūko g.,48000,1800,1,26.67,2,3
