id;adresas;namo_valdytojas;valdymo_forma;paskyrimo_pagrindas;administratoriaus_pabaigos_Data;paskirtis;uni_nr;bendr_plotas;naud_plotas;build_year;renov_metai;renovacijos_statusas;energ_naudingumo_klase;butu_skaicius;negyvenamuju_palapu_skaicius;korpusas;sklypo_plotas
2112;Tverečiaus g. 3;382-oji daugiabučio namo savininkų bendrija;Bendrija;1995.11.23;;Gyvenamoji (trys ir daugiau butų);1096-4015-2016;2110.53;0.00;1964;;Nerenovuotas;;40;0;1A5p;0.00
2113;Tverečiaus g. 4;487-oji daugiabučio namo savininkų bendrija;Bendrija;1996.04.04;;Gyvenamoji (trys ir daugiau butų);1096-4015-3013;2780.89;0.00;1964;2010;Renovuotas;C;60;0;1A5b;0.00
2114;Tverečiaus g. 7;117-oji daugiabučio namo savininkų bendrija;Bendrija;1993.10.07;;Gyvenamoji (trys ir daugiau butų);1096-4015-6016;2032.60;1756.91;1964;;Nerenovuotas;;39;0;1A5p;0.00
2115;Ukmergės g. 200;;JVS;2016.08.26;;Gyvenamoji (trys ir daugiau butų);1097-9010-6017;9998.44;8391.66;1979;;Nerenovuotas;D;144;0;1A9b;0.00
2116;Ukmergės g. 300F;Daugiabučių namų, esančių Ukmergės g. 300E, 300F, 300G ir 300H, Vilniuje, savininkų bendrija;Bendrija;2006.09.19;;Gyvenamoji (trys ir daugiau butų);4400-0588-1736;3646.11;3107.48;2006;;Nerenovuotas;;44;17;4A9b;0.00
2117;Ukmergės g. 300G;Daugiabučių namų, esančių Ukmergės g. 300E, 300F, 300G ir 300H, Vilniuje, savininkų bendrija;Bendrija;2006.09.19;;Gyvenamoji (trys ir daugiau butų);4400-0588-1758;4064.75;3100.28;2006;;Nerenovuotas;;44;18;5A9b;0.00
2118;Ukmergės g. 300H;Daugiabučių namų, esančių Ukmergės g. 300E, 300F, 300G ir 300H, Vilniuje, savininkų bendrija;Bendrija;2006.09.19;;Gyvenamoji (trys ir daugiau butų);4400-0588-1769;4070.03;3104.56;2006;;Nerenovuotas;;44;18;6A9b;0.00
2119;Ukmergės g. 141;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0402-7014;81.82;81.82;1940;;Nerenovuotas;;0;0;1A1p;0.00
2120;Ukmergės g. 143;DNSB Ukmergės g. 143;Bendrija;2017.03.21;;Gyvenamoji (trys ir daugiau butų);1094-0402-9018;182.05;182.05;1940;;Nerenovuotas;;6;0;1A1p;0.07
2121;Ukmergės g. 198;;JVS;2016-05-06;;Gyvenamoji (trys ir daugiau butų);1097-9010-5012;10226.19;9088.35;1979;;Nerenovuotas;D;151;2;1A9b;0.00
2122;Ukmergės g. 228;;JVS;43066;;Gyvenamoji (trys ir daugiau butų);1098-1011-1016;4151.95;3459.10;1981;;Nerenovuotas;D;60;0;1A5b;0.00
2123;Ukmergės g. 298A;;JVS;2013.04.29;;Gyvenamoji (trys ir daugiau butų);1099-4051-0029;4070.09;2840.39;2003;;Nerenovuotas;;40;6;3A6p;0.00
2124;Ukmergės g. 298B;;JVS;2013.04.25;;Gyvenamoji (trys ir daugiau butų);1099-4051-0034;4397.41;3670.99;2003;;Nerenovuotas;;60;15;4A6p;0.00
2125;Ukmergės g. 298C;;JVS;2013.03.12;;Gyvenamoji (trys ir daugiau butų);1099-4051-0048;3815.47;3158.23;2003;;Nerenovuotas;;48;17;5A6p;0.00
2126;Ukmergės g. 300B;Daugiabučio namo savininkų bendrija Pašilaičių būstas;Bendrija;2009.03.24;;Gyvenamoji (trys ir daugiau butų);4400-0772-3802;9351.43;6194.04;2007;;Nerenovuotas;;107;109;13A9p;0.00
2127;Ukmergės g. 300E;Daugiabučių namų, esančių Ukmergės g. 300E, 300F, 300G ir 300H, Vilniuje, savininkų bendrija;Bendrija;2006.09.19;;Gyvenamoji (trys ir daugiau butų);4400-0588-1703;5196.83;4303.09;2006;;Nerenovuotas;;73;25;3A9b;0.00
2128;Ukmergės g. 409;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);4194-0021-1019;474.27;474.27;1940;;Nerenovuotas;;12;0;1A1m;0.00
2129;Ūmėdžių g. 72;904-oji daugiabučio namo savininkų bendrija Mūsų namai;Bendrija;2002.12.21;;Gyvenamoji (trys ir daugiau butų);1099-6013-0005;0.00;1242.45;1996;;Nerenovuotas;;16;0;1A5p;0.00
2130;Ūmėdžių g. 96;952-oji daugiabučio namo savininkų bendrija;Bendrija;2003.07.29;;Gyvenamoji (trys ir daugiau butų);1099-9008-2010;2843.24;2419.87;1999;;Nerenovuotas;;39;0;1A6p;0.00
2131;Ūmėdžių g. 98;917-oji daugiabučio namo savininkų bendrija;Bendrija;2003.01.20;;Gyvenamoji (trys ir daugiau butų);1300-0001-7017;3298.17;2670.61;2000;;Nerenovuotas;;48;0;1A6p;0.00
2132;Uosių g. 22;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0405-7014;128.26;128.26;1940;;Nerenovuotas;;3;0;1A1m;0.30
2133;Užupio g. 13;;Bendrija;2015.04.20;;Gyvenamoji (trys ir daugiau butų);1094-0408-4011;994.65;407.57;1940;;Nerenovuotas;;8;9;1A2p;0.00
2134;Užupio g. 17;Daugiabučio namo  Užupio g. 17 savininkų bendrija;Bendrija;2003.01.07;;Gyvenamoji (trys ir daugiau butų);1094-0408-8011;0.00;848.39;1940;2008;Dalinė renovacija;;14;3;1A3p;0.00
2135;Užupio g. 19;;JVS;2016.09.15;;Gyvenamoji (trys ir daugiau butų);1094-0409-1027;252.63;252.63;1940;;Nerenovuotas;;5;0;2A1p;0.34
2136;Užupio g. 19;;JVS;2016.09.15;;Gyvenamoji (trys ir daugiau butų);1094-0409-1016;2554.45;2105.63;1940;;Nerenovuotas;;39;3;1A3p;0.34
2137;Užupio g. 25;Daugiabučio namo Užupio g. 25, Vilniuje savininkų bendrija;Bendrija;2005.11.14;;Gyvenamoji (trys ir daugiau butų);4400-0089-8262;2632.39;2175.74;2005;;Nerenovuotas;;23;22;7A3p;0.00
2138;Užupio g. 26;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0409-8020;233.94;233.94;1940;;Nerenovuotas;;4;0;3A2p;0.00
2139;Užupio g. 28;;JVS;43048;2017-12-31;Gyvenamoji (trys ir daugiau butų);1094-0410-0014;903.70;634.52;1940;;Nerenovuotas;;14;2;1A3p;0.10
2140;Užupio g. 7;Daugiabučių gyvenamųjų namų Užupio g. Nr. 7, 7B savininkų bendrija;Bendrija;2013.11.11;;Gyvenamoji (trys ir daugiau butų);1094-0407-9012;4436.49;2920.69;1940;;Nerenovuotas;;60;12;1A2p;0.00
2141;Užupio g. 7B;Daugiabučių gyvenamųjų namų Užupio g. Nr. 7, 7B savininkų bendrija;Bendrija;2013.11.11;;Gyvenamoji (trys ir daugiau butų);1094-0407-9023;519.78;397.51;1940;;Nerenovuotas;;8;14;4A1p;0.00
2142;Užupio g. 9;Daugiabučio gyvenamojo namo Užupio g. 9 savininkų bendrija Užupio 9;Bendrija;2016.07.01;2017-12-31;Gyvenamoji (trys ir daugiau butų);1094-0408-1010;2481.13;1336.60;1940;;Nerenovuotas;;31;7;1A3p;0.00
2143;Užusienio g. 28;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1095-0010-8018;208.68;208.68;1950;;Nerenovuotas;;3;0;1A1b;0.13
2144;V. A. Graičiūno g. 1;;Nenustatyta valdymo forma;;;Gyvenamoji (įvairioms socialinėms grupėms);1098-3018-5010;555.41;555.41;1983;;Nerenovuotas;;15;0;2N2b;0.00
2145;V. Druskio g. 10;75-oji daugiabučių namų savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1097-4011-1048;3749.65;3137.15;1975;;Nerenovuotas;;60;0;3A5b;0.00
2146;V. Druskio g. 10;75-oji daugiabučių namų savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1097-4011-1037;6250.30;5616.03;1975;;Nerenovuotas;;108;0;4A9b;0.00
2147;V. Druskio g. 10;75-oji daugiabučių namų savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1097-4011-1026;1623.12;1498.57;1975;;Nerenovuotas;;27;0;2A9b;0.00
2148;V. Druskio g. 10;75-oji daugiabučių namų savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1097-4011-1015;4180.80;3776.40;1975;;Nerenovuotas;;72;0;1A5b;0.00
2149;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0050;3217.93;2973.27;1972;;Nerenovuotas;;54;0;5A9b;0.00
2150;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0061;1875.10;1564.84;1972;;Nerenovuotas;;30;0;6A5b;0.00
2151;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0029;4140.64;3768.84;1972;;Nerenovuotas;;72;0;1A9b;0.00
2152;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0018;1879.30;1564.50;1972;;Nerenovuotas;;30;0;4A5b;0.00
2153;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0048;1877.11;1564.61;1972;;Nerenovuotas;;30;0;2A5b;0.00
2154;V. Druskio g. 9;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4011-0034;3737.50;3120.52;1972;;Nerenovuotas;;60;0;3A5b;0.00
2155;V. Grybo g. 19;Daugiabučio namo V. Grybo g. 19 savininkų bendrija;Bendrija;2008.08.11;;Gyvenamoji (trys ir daugiau butų);1095-9020-6016;1004.38;0.00;1959;2016;Renovuotas;;9;2;1A4p;0.00
2156;V. Grybo g. 23;200-oji daugiabučio namo V. Grybo g. 23/18 savininkų bendrija;Bendrija;1994.02.24;;Gyvenamoji (trys ir daugiau butų);1097-0020-8010;4193.21;3131.17;1970;2006;Renovuotas;;38;1;1A5p;0.00
2157;V. Grybo g. 39;;Nenustatyta valdymo forma;;;Gyvenamoji (įvairioms socialinėms grupėms);1096-7012-0013;7281.14;7281.14;1967;;Nerenovuotas;;31;0;1N5p;0.40
2158;V. Grybo g. 41;388-oji daugiabučio namo savininkų bendrija SENATORIŲ;Bendrija;1995.12.01;;Gyvenamoji (trys ir daugiau butų);1097-4014-2012;2712.55;2296.20;1974;;Nerenovuotas;;41;0;1A5p;0.00
2159;V. Grybo g. 43;34-oji gyvenamojo namo statybos bendrija;Bendrija;1993.06.03;;Gyvenamoji (trys ir daugiau butų);1300-0027-4016;4664.18;3848.93;2000;;Nerenovuotas;;32;21;1A4p;0.00
2160;V. Maciulevičiaus g. 20;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-2010-6038;1623.67;1504.19;1975;;Nerenovuotas;;27;0;2A9b;0.00
2161;V. Maciulevičiaus g. 20;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-2010-6050;1886.40;1567.50;1972;;Nerenovuotas;;30;0;5A9b;0.00
2162;V. Maciulevičiaus g. 20;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-2010-6040;4151.38;3765.08;1973;;Nerenovuotas;;72;0;3A9b;0.00
2163;V. Maciulevičiaus g. 20;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-2010-6029;4166.68;3765.75;1972;;Nerenovuotas;;72;0;1A9b;0.00
2164;V. Maciulevičiaus g. 20;360-oji daugiabučių namų savininkų bendrija;Bendrija;1995.10.10;;Gyvenamoji (trys ir daugiau butų);1097-4006-2042;1871.90;1567.50;1974;;Nerenovuotas;;30;0;3A5b;0.00
2165;V. Pietario g. 3;72-oji Daugiabučių namų savininkų bendrija;Bendrija;1993.08.12;;Gyvenamoji (trys ir daugiau butų);1098-9027-5015;4741.50;3840.24;1990;;Nerenovuotas;;55;1;1A12p;0.18
2166;V. Pietario g. 5;375-oji daugiabučių namų savininkų bendrija;Bendrija;;;Gyvenamoji (trys ir daugiau butų);1098-6020-6013;5047.67;4194.99;1977;2017;Renovuotas;;71;0;1A9b;0.00
2167;V. Pietario g. 7;375-oji daugiabučių namų savininkų bendrija;Bendrija;2014.07.08;;Gyvenamoji (trys ir daugiau butų);1097-8022-4017;2632.48;2176.83;1977;2016;Renovuotas;;36;0;1A9b;0.00
2168;V. Sirokomlės g. 16;;JVS;2016.02.11;;Gyvenamoji (trys ir daugiau butų);1094-0415-9015;125.75;122.26;1940;;Nerenovuotas;;3;0;1A1m;0.18
2169;V. Sirokomlės g. 19;128-oji daugiabučio namo savininkų bendrija ŽALIAKALNIS;Bendrija;1993.10.21;;Gyvenamoji (trys ir daugiau butų);1099-5020-8029;1478.24;1255.20;1995;;Nerenovuotas;;22;0;2A5p;0.00
2170;V. Sirokomlės g. 19;128-oji daugiabučio namo savininkų bendrija ŽALIAKALNIS;Bendrija;1993.10.21;;Gyvenamoji (trys ir daugiau butų);1099-5020-8018;1452.36;1216.48;1995;;Nerenovuotas;;22;0;1A5p;0.00
2171;V. Sirokomlės g. 5;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0415-1015;149.95;149.95;1940;;Nerenovuotas;;3;0;1A1m;0.00
2172;V. Smakausko g. 33;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);4400-2481-6951;531.71;366.75;2015;;Nerenovuotas;;3;0;4A2/b;1.61
2173;V. Tverečiaus g. 6;471-oji daugiabučio namo savininkų bendrija;Bendrija;1996.03.04;;Gyvenamoji (trys ir daugiau butų);1096-4015-5019;2824.27;2400.83;1964;;Nerenovuotas;;60;0;1A5p;0.00
2174;V. Vaitkaus g. 13;;JVS;2014.03.18;;Gyvenamoji (trys ir daugiau butų);1097-4010-0043;1889.70;1565.00;1974;;Nerenovuotas;;30;0;2A5b;0.00
2175;V. Vaitkaus g. 13;;JVS;2014-03-18;;Gyvenamoji (trys ir daugiau butų);1097-4010-0010;1883.00;1565.00;1974;;Nerenovuotas;F;30;0;3A5b ;0.00
2176;V. Vaitkaus g. 13;V. Vaitkaus g. 13/552 korp. daugiabučio namo savininkų bendrija;Bendrija;2008.10.21;;Gyvenamoji (trys ir daugiau butų);1097-4010-0054;0.00;0.00;1974;;Renovuojamas;E;54;0;5A9b;0.00
2177;Vaduvos g. 20;;JVS;2012.10.22;;Gyvenamoji (trys ir daugiau butų);1098-4015-0018;2154.27;1665.55;1984;;Nerenovuotas;;40;0;1A5b;0.00
2178;Vaduvos g. 30C;Namo Vaduvos g. 30C Vilniuje savininkų bendrija;Bendrija;2017.03.30;2017-12-31;Gyvenamoji (trys ir daugiau butų);1300-3033-6012;2660.51;2419.20;2007;;Nerenovuotas;;40;41;1A10p;0.22
2179;Vaduvos g. 30D;;Bendrija;2017-07-26;;Gyvenamoji (trys ir daugiau butų);4400-0855-6496;2773.86;2372.95;2007;;Nerenovuotas;;40;41;3A10p;0.22
2180;Vaduvos g. 34A;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1093-9006-8012;439.56;347.45;1939;;Nerenovuotas;;3;0;1A2/b;0.00
2181;Vaikų g. 23;Daugiabučio namo savininkų bendrija Pušis;Bendrija;2005.04.21;;Gyvenamoji (trys ir daugiau butų);4199-5006-9018;2752.33;2292.70;1995;;Nerenovuotas;;35;0;1A5pb;0.00
2182;Vakaro g. 6;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1300-2050-6010;834.94;759.80;2005;;Nerenovuotas;;5;0;1A2p;0.00
2183;Valkininkų g. 25;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0403-7010;97.18;97.18;1940;;Nerenovuotas;;4;0;1A1m;0.00
2184;Vandens g. 16;;JVS;2016-02-09;;Gyvenamoji (trys ir daugiau butų);1094-0420-6015;113.95;113.95;1940;;Nerenovuotas;;3;0;1A1m;0.18
2185;Vandens g. 8;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1096-2038-2010;110.73;110.73;2005;;Nerenovuotas;;3;0;1A1mp;0.00
2186;Vandentiekio g. 30;953-oji daugiabučio namo savininkų bendrija;Bendrija;2003.07.29;;Gyvenamoji (trys ir daugiau butų);1096-0039-3015;1452.49;1214.79;1960;;Nerenovuotas;;32;0;1A4p;0.06
2187;Varšuvos g. 1;;JVS;2012.04.05;;Gyvenamoji (trys ir daugiau butų);1094-0424-3018;424.98;396.47;1940;;Renovuojamas;F;6;0;1A1m;0.00
2188;Varšuvos g. 17;;JVS;2013.07.15;;Gyvenamoji (trys ir daugiau butų);1094-0425-3013;308.38;277.97;1940;;Nerenovuotas;;6;0;1A1p;0.00
2189;Varšuvos g. 17A;;JVS;2011.06.23;;Gyvenamoji (trys ir daugiau butų);1094-0510-5017;345.15;182.90;1940;;Nerenovuotas;;3;4;2A1p;0.00
2190;Varšuvos g. 4;;JVS;2014.11.24;;Gyvenamoji (trys ir daugiau butų);1093-5009-2010;288.80;224.59;1940;;Nerenovuotas;;4;0;1A1m;0.00
2191;Varšuvos g. 5;;JVS;2012.03.08;;Gyvenamoji (trys ir daugiau butų);1094-0424-5014;433.06;392.51;1940;;Nerenovuotas;;4;0;1A1p;0.00
2192;Varšuvos g. 7;;JVS;2012.04.11;;Gyvenamoji (trys ir daugiau butų);1094-0424-7010;389.90;370.87;1940;;Nerenovuotas;;9;0;1A1p;0.00
2193;Varšuvos g. 9;;Administravimas;;;Gyvenamoji (trys ir daugiau butų);1094-0424-9014;438.29;374.15;1940;;Nerenovuotas;;8;1;1A3p;0.00
2194;Vasario 16-osios g. 2;Daugiabučio namo savininkų bendrija Vasario 16-osios bendrija;Bendrija;2009.01.28;;Gyvenamoji (trys ir daugiau butų);1095-7003-7013;9306.16;5568.28;1957;;Nerenovuotas;;86;26;1A5p;0.00
2195;Vašingtono a. 1;149-oji DNSB Mokslininkų namas;Bendrija;2013.04.11;;Gyvenamoji (trys ir daugiau butų);1095-2002-9010;11066.64;7266.19;1952;;Nerenovuotas;;80;22;1A5p;0.00
2196;Verkių g. 110;;JVS;2012.12.10;;Gyvenamoji (trys ir daugiau butų);1094-0432-8010;107.27;98.55;1940;;Nerenovuotas;;3;0;1A1m;0.00
2197;Verkių g. 28;Daugiabučio namo savininkų bendrija Verkių g. 28, Vilniuje;Bendrija;2007.06.22;;Gyvenamoji (trys ir daugiau butų);1095-7015-5018;2461.51;1652.39;1957;;Nerenovuotas;;24;2;1A3p;0.00
2198;Verkių g. 43;708-oji daugiabučio namo savininkų bendrija;Bendrija;2000.04.28;;Gyvenamoji (įvairioms socialinėms grupėms);1097-9011-9016;0.00;4013.91;1979;;Nerenovuotas;D;124;4;1N12p;0.00
2199;Verkių g. 45;;Nenustatyta valdymo forma;;;Gyvenamoji (įvairioms socialinėms grupėms);1097-1012-7014;5471.26;4578.46;1971;;Nerenovuotas;;19;0;1N5p;0.18
2200;Verkių g. 47;528-oji daugiabučio namo savininkų bendrija;Bendrija;1996.09.27;;Gyvenamoji (įvairioms socialinėms grupėms);1097-2012-9013;5520.06;5153.17;1972;;Nerenovuotas;;97;1;1N5p;0.00
2201;Verkių g. 68B;DNSB Verkių 68;Bendrija;2007.12.12;;Gyvenamoji (trys ir daugiau butų);4400-0989-5143;975.12;975.12;2007;;Nerenovuotas;B;9;0;13A2/b;1.59
2202;Verkių g. 68C;DNSB Verkių 68;Bendrija;2007.12.12;;Gyvenamoji (trys ir daugiau butų);4400-0989-5176;1454.39;1454.39;2007;;Nerenovuotas;B;15;0;14A3/b;1.59
2203;Verkių g. 68D;DNSB Verkių 68;Bendrija;2007.12.12;;Gyvenamoji (trys ir daugiau butų);4400-0989-5221;1306.10;1306.10;2007;;Nerenovuotas;B;11;0;15A3/b;1.59
2204;Verkių g. 68E;DNSB Verkių 68;Bendrija;2007.12.12;;Gyvenamoji (trys ir daugiau butų);4400-0989-5254;1591.46;1591.46;2007;;Nerenovuotas;B;15;0;16A3/b;1.59
2205;Verkių g. 68F;DNSB Verkių 68;Bendrija;2007.12.12;;Gyvenamoji (trys ir daugiau butų);4400-0989-5287;667.93;667.93;2007;;Nerenovuotas;B;6;0;17A2/b;1.59
2206;Verkių g. 77;853-oji daugiabučio namo savininkų bendrija;Bendrija;2002.04.04;;Gyvenamoji (trys ir daugiau butų);1094-0431-6018;0.00;0.00;1940;;Nerenovuotas;;5;0;1A3p;0.00
2207;Verkių Riešės g. 66;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1095-5007-6014;210.01;167.58;1955;;Nerenovuotas;;1;0;1A1b;0.18
2208;Versmių g. 102;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);4194-0070-2019;160.29;160.29;1940;;Nerenovuotas;;3;0;1A1/m;0.00
2209;Vileišio g. 14;;JVS;2014.10.06;;Gyvenamoji (trys ir daugiau butų);1097-9010-2013;3450.17;2993.87;1969;;Nerenovuotas;;51;0;1A5p;0.00
2210;Vilijos g. 15;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0440-6017;116.10;116.10;1940;;Nerenovuotas;;3;0;1A1m;0.00
2211;Vilijos g. 32;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1094-0440-9018;163.89;133.87;1940;;Nerenovuotas;;3;0;1A1/ž;0.00
2212;Vilkpėdės g. 14;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);1095-8031-4010;146.80;146.80;1958;;Nerenovuotas;;3;0;1A1b;0.00
2213;Vilniaus g. 2;;Nenustatyta valdymo forma;;;Gyvenamoji (įvairioms socialinėms grupėms);7995-0002-2016;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2214;Vilniaus g. 21;Daugiabučių gyvenamųjų namų Jogailos g. 8, Vilniaus g. 21, Vilniuje savininkų bendrija;Bendrija;2013.05.28;;Gyvenamoji (trys ir daugiau butų);1094-0441-7010;0.00;0.00;1940;;Nerenovuotas;;15;2;1A4p;0.00
2215;Vilniaus g. 23;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);7995-1002-7011;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2216;Vilniaus g. 25;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);7995-1002-8016;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2217;Vilniaus g. 29;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);7995-3003-3017;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2218;Vilniaus g. 31;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);7995-1002-9017;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2219;Vilniaus g. 6A;;Nenustatyta valdymo forma;;;Gyvenamoji (trys ir daugiau butų);7992-6000-3016;0.00;0.00;0;;Nerenovuotas;;0;0;;0.00
2220;Vinco Kudirkos g. 18A;767-oji daugiabučių namų savininkų bendrija;Bendrija;2001.06.01;;Gyvenamoji (trys ir daugiau butų);1097-8018-7035;0.00;0.00;2000;;Nerenovuotas;;21;22;2A2p;0.00
2221;Vinco Kudirkos g. 22;486-oji daugiabučio namo savininkų bendrija;Bendrija;1996.04.04;;Gyvenamoji (trys ir daugiau butų);1094-0413-8014;848.35;593.17;1940;;Nerenovuotas;;10;3;1A3p;0.00
2222;Vingrių g. 13;774-oji daugiabučio namo savininkų bendrija;Bendrija;2001.06.21;;Gyvenamoji (trys ir daugiau butų);1094-0443-0011;0.00;2401.25;1940;;Nerenovuotas;;39;9;1A3bp;0.00
2223;Vingrių g. 19;533-oji daugiabučių namų savininkų bendrija VINGRIAI;Bendrija;1996.10.21;;Gyvenamoji (trys ir daugiau butų);1095-2009-4014;587.76;557.95;1952;;Nerenovuotas;;10;0;1N3p;0.00
2224;Vingrių g. 6A;949-oji daugiabučių namų savininkų bendrija;Bendrija;2003.07.29;;Administracinė;1094-0442-8037;0.00;0.00;2001;;Nerenovuotas;;12;12;4B4b;0.00
2225;Virbeliškių g. 3;Virbeliškių bendrija;Bendrija;2013.09.13;;Gyvenamoji (trys ir daugiau butų);4400-2172-1646;0.00;7039.54;2013;;Nerenovuotas;;128;13;1A7b;0.46
2226;Virbeliškių g. 5;DNSB  Bendrija Gintarinis miestas;Bendrija;2017.08.18;;Gyvenamoji (trys ir daugiau butų);4400-2763-3201;5519.82;5211.97;2015;;Nerenovuotas;B;93;26;1A7p;0.00
2227;Virbeliškių g. 7;DNSB  Bendrija Gintarinis miestas;Bendrija;2017.08.18;;Gyvenamoji (trys ir daugiau butų);4400-3021-5000;3323.75;3024.10;2015;;Nerenovuotas;B;58;6;2A7p;0.00
2228;Viršilų g. 11;Daugiabučių namų savininkų bendrija Viršuliškių porelė;Bendrija;2006.11.29;;Gyvenamoji (trys ir daugiau butų);4400-0439-1371;0.00;9316.48;2007;;Nerenovuotas;B;108;0;1A23b;0.00
2229;Viršilų g. 13;Daugiabučių namų savininkų bendrija Viršuliškių porelė;Bendrija;2006.11.29;;Gyvenamoji (trys ir daugiau butų);4400-0854-8494;0.00;9237.12;2006;;Nerenovuotas;;109;3;2A23b;0.00
2230;Viršuliškių g. 41;Daugiabučio namo Viršuliškių g. Nr. 41 savininkų bendrija;Bendrija;2011.11.07;;Gyvenamoji (trys ir daugiau butų);1097-8014-8014;3535.13;3329.68;1978;;Nerenovuotas;;60;3;1A12b;0.00
2231;Viršuliškių g. 29;;JVS;2014.09.09;;Gyvenamoji (trys ir daugiau butų);1097-8014-4014;3534.14;3329.20;1978;;Nerenovuotas;;60;0;1A12b;0.00
2232;Viršuliškių g. 35;Daugiabučio namo savininkų bendrija Beržas 1;Bendrija;2007.08.13;;Gyvenamoji (trys ir daugiau butų);1097-7012-9014;0.00;5673.33;1977;;Nerenovuotas;;108;0;1A9b;0.00
2233;Viršuliškių g. 51;517-oji daugiabučio namo Viršuliškių g. 51 savininkų bendrija RŪTA;Bendrija;1996.08.02;;Gyvenamoji (trys ir daugiau butų);1097-9012-2010;0.00;3328.51;1979;;Nerenovuotas;;60;0;1A12b;0.00
2234;Viršuliškių g. 53D;73-oji daugiabučių namų savininkų bendrija VIRŠULIŠKĖS;Bendrija;1993.09.30;;Gyvenamoji (trys ir daugiau butų);1097-6006-0013;4185.80;3772.55;1976;;Nerenovuotas;;72;0;1A9b;0.00
2235;Viršuliškių g. 55;;JVS;2013.11.28;;Gyvenamoji (trys ir daugiau butų);1097-7013-6019;3607.04;3329.07;1977;;Nerenovuotas;;60;4;1A12b;0.00
2236;Viršuliškių g. 61;61-ojo daugiabučio namo savininkų bendrija;Bendrija;2009.12.16;;Gyvenamoji (trys ir daugiau butų);1097-6011-5013;4184.70;3772.69;1976;;Nerenovuotas;;72;0;1A9b;0.00
2237;Viršuliškių g. 65;Daugiabučio namo Viršuliškių g. 65, savininkų bendrija;Bendrija;2004.07.12;;Gyvenamoji (trys ir daugiau butų);1097-7013-9010;3506.36;3303.56;1977;;Nerenovuotas;;60;4;1A12b;0.00
